Init time, 0.032323
Iteration: 628, 0.018648, 14.747485
Iteration: 629, 0.025711, 14.773198
Iteration: 630, 0.035881, 14.809081
Iteration: 631, 0.022698, 14.831781
Iteration: 632, 0.019014, 14.850797
Iteration: 633, 0.017984, 14.868782
Iteration: 634, 0.024003, 14.892787
Iteration: 635, 0.021795, 14.914583
Iteration: 636, 0.017187, 14.931772
Iteration: 637, 0.021704, 14.953478
Iteration: 638, 0.022310, 14.975790
Iteration: 639, 0.018569, 14.994360
Iteration: 640, 0.022172, 15.016534
Iteration: 641, 0.022746, 15.039281
Iteration: 642, 0.017539, 15.056822
Iteration: 643, 0.024286, 15.081110
Iteration: 644, 0.023767, 15.104879
Iteration: 645, 0.019232, 15.124112
Iteration: 646, 0.018582, 15.142696
Iteration: 647, 0.023942, 15.166639
Iteration: 648, 0.026027, 15.192668
Iteration: 649, 0.021362, 15.214032
Iteration: 650, 0.021973, 15.236007
Iteration: 651, 0.022076, 15.258085
Iteration: 652, 0.025145, 15.283231
Iteration: 653, 0.019475, 15.302708
Iteration: 654, 0.022808, 15.325518
Iteration: 655, 0.022162, 15.347682
Iteration: 656, 0.021062, 15.368746
Iteration: 657, 0.019882, 15.388630
Iteration: 658, 0.023032, 15.411663
Iteration: 659, 0.025930, 15.437595
Iteration: 660, 0.019102, 15.456699
Iteration: 661, 0.022229, 15.478930
Iteration: 662, 0.023598, 15.502529
Iteration: 663, 0.018014, 15.520545
Iteration: 664, 0.024006, 15.544552
Iteration: 665, 0.022601, 15.567155
Iteration: 666, 0.025339, 15.592496
Iteration: 667, 0.020312, 15.612809
Iteration: 668, 0.024800, 15.637612
Iteration: 669, 0.026138, 15.663752
Iteration: 670, 0.019989, 15.683743
Iteration: 671, 0.019261, 15.703005
Iteration: 672, 0.022743, 15.725750
Iteration: 673, 0.024426, 15.750177
Iteration: 674, 0.018885, 15.769064
Iteration: 675, 0.025601, 15.794667
Iteration: 676, 0.022736, 15.817405
Iteration: 677, 0.024332, 15.841738
